"content","pos","meaning","examples","collocations","mode"
"inhibit","v.","inhibit [v.]","Fear of failure can **inhibit** creativity.","** inhibit growth","recognition"
"the dreams we thought were out of reach","","那些曾以為遙不可及的夢想","","** out of reach (遙不可及|夠不著)","production"
"autonomy","n.","自治(權)；自主","Universities enjoy a high degree of **autonomy** from the government.","** personal autonomy","recognition"
"dynamic","adj.","動態的；充滿活力的","The market is very **dynamic** and changes constantly.","** group dynamics (團體動力)","recognition"
"by and large","","大體上；總的來說","**By and large**, the new system is working well.","","recognition"
"aberration","n.","異常現象；反常行為","The sudden drop in temperature was considered an **aberration** for this time of year.","** a mental aberration (精神失常)","recognition"
"unorthodox","adj.","非正統的；非傳統的","His teaching methods are effective but **unorthodox**.","","recognition"
"constraint","n.","限制；約束","Budget **constraints** forced us to cancel the project.","** financial|time constraints","recognition"
"at a disadvantage","","處於劣勢","","","production"
"turn the tide","","扭轉局勢","","** turn the tide (of + N.)","production"
"manifest itself in","v.","顯現；表明","His stress began to **manifest itself in** physical symptoms.","** manifest signs of...","recognition"
"生動的 / 歷歷在目","","生動的 / 歷歷在目","","","production"
"lay the foundation for","","為...奠定基礎","Basic research **lays the foundation for** future scientific breakthroughs.","** lay (鋪設) + foundation (地基)","recognition"
"be consistent with","","與...一致","","","production"
"converge","v.","匯聚；集中於一點","Thousands of supporters **converged** on the capital city.","** converge on|at...","recognition"
"genuine","","真正的；真誠的","","","production"
"mystique","n.","神秘感；奧秘","The **mystique** surrounding the celebrity keeps fans interested.","** 指人或事物充滿吸引力的神秘氣質","recognition"
"readily","adv.","輕而易舉地；樂意地","Information is now **readily** available to anyone with an internet connection.","** readily available (唾手可得)","recognition"
"fluctuate","v.","波動；起伏不定","","","recognition"
"facade","n.","(建築物) 正面；假象","Behind his cheerful **facade**, he was actually feeling very lonely.","** a facade of confidence (自信的假象)","recognition"
"boasts","","（擁有、具備）特色/優點","","** boast 原意為自誇，在旅遊英文中指「擁有(值得自豪的資源)」","production"
"dominant","adj.","佔優勢的；支配的","English is the **dominant** language in international business.","** dominant gene|position","recognition"
"convenience [U.]","","方便 (名詞)","","","production"
"diverse","adj.","多樣的；不同的","The city has a culturally **diverse** population.","** diverse range of...","recognition"
"In particular","","尤其、特別","","** 置於句首或名詞後作強調","production"
"out of reach","","遙不可及的","","** 最流利的形容方式|**  dreams out of reach","production"
"feasible","adj.","可行的；行得通的","It is not **feasible** to finish the project in one day.","** feasible plan|solution","recognition"
"knotty","adj.","棘手的；(木材)有節的","This is a **knotty** problem that requires careful thought.","** a knotty problem (難題)","recognition"
"at the expense of","","以...為代價；犧牲...","They benefit big corporations **at the expense of** local industries.","","recognition"
"in reach / within reach","","觸手可及；在能力範圍內","","**  dreams out of reach","production"
"arise","v.","出現；產生","New problems may **arise** from sudden wealth.","","recognition"
"serve as","","充當...；用作...","","","production"
"in effect","phr.","實際上；事實上","The new law is, **in effect**, a tax increase for the middle class.","** 用於強調實際狀況與表面名義的差異","recognition"
"capable of","","能夠...","","","production"
"coherent","adj.","連貫的；條理分明的","He proposed a **coherent** plan to improve the school system.","","recognition"
"exude","v.","exude [v.]","She **exudes** confidence every time she gives a presentation.","** 常用於氣息、氣氛或液體的滲出，比喻用法極佳","recognition"
"alone","","光是... (強調)","","","production"
"內在的；本質的","","intrinsic","","","production"
"peculiar","adj.","奇怪的；獨特的","The food has a **peculiar** taste.","** be peculiar to (是...特有的)","recognition"
"encompass","v.","包含；圍繞","The course **encompasses** a wide range of history topics.","** encompass all aspects","recognition"
"disparate","adj.","截然不同的；多元的","The group is made up of people from **disparate** backgrounds.","** disparate concepts","recognition"
"an over-reliance on","","對⋯的過度依賴","","** reliance 為名詞，介系詞用 on","production"
"superfluous","adj.","多餘的；不必要的","Please remove any **superfluous** details from your report.","** super (over) + flu (flow) = 流出來太多的","recognition"
"Give us the opportunity to...","","讓我們有機會","","** opportunity (機會) 後接 to + VR","production"
"full freedom of action","","充分的行動自由","","","production"
"vulnerable","adj.","易受傷害的；脆弱的","In fact, the infant is the most **vulnerable** member of society to this chemical.","** be vulnerable to + N.","recognition"
"hold all the cards","","掌控大局；佔上風","But grads beware: employers are **holding all the cards**.","","recognition"
"compatible","adj.","相容的；合得來的","This software is not **compatible** with your operating system.","** be compatible with...","recognition"
"無預警地"",","","無預警地","","","production"
"bolster","","bolster","","","production"
"alleviate","","減輕（負擔/壓力）","","** strain (拉力|負擔)；relieve (減輕)","production"
"marginal","adj.","邊緣的；微小的；不重要的","There has been only a **marginal** improvement in the patient's condition.","** marginal cost (邊際成本)；marginal effect (微小的影響)","recognition"
"staggering","adj.","驚人的；令人震驚的","The diversity offered by streaming services is **staggering**.","** 通常指數量、規模大到令人難以置信","recognition"
"damage","","破壞 (注意：不可數！)","","** cause|do damage to + N. (不可加 s)","production"
"exacerbate","v.","使惡化；加劇","","","recognition"
"yield","v.","產出；生產；屈服","The region has consistently **yielded** many of the world's best runners.","** yield crops (生產農作物); yield to (屈服於)","recognition"
"cutting-edge","adj.","最先進的；尖端的","With her **cutting-edge** designs, she stood at the forefront of fashion.","","recognition"
"fully","","充分地","","","production"
"on a large scale","","大規模地","","** scale (規模)","production"
"break a sweat","","break a sweat","...without **breaking a sweat** or losing the freshness of their smiles.","** 幾乎總是用於否定句 **without breaking a sweat**，意指「輕而易舉、毫不費力」。","recognition"
"commanding","adj.","昂貴的；威嚴的；居高臨下的","The luxury brand maintains a **commanding** price in the market.","** commanding price (索價極高)|commanding view (居高臨下的視野)","recognition"
"large-scale","","大規模的","","** 寫作常用來描述計畫、調查或改變 (注意不加 -d)","production"
"boom","","迅速發展；繁榮","","","production"
"work wonders","","產生奇效；創造奇蹟","A good night's sleep can **work wonders** for your mood.","** work wonders for|on ...","recognition"
"fabulously","adv.","極其；驚人地","She was **fabulously** wealthy after inheriting the estate.","** fabulously rich|wealthy","recognition"
"a collection of paintings/masterpieces","","一批/一系列 (畫作/收藏)","","** a collection of + 複數名詞|**  on display","production"
"vibrancy","n.","活力；生命力","The artist used bright colors to capture the **vibrancy** of the city market.","","recognition"
"hamper","v.","hamper [v.]","Heavy rain **hampered** the rescue efforts.","** 同義詞為 hinder 或 obstruct。","recognition"
"mediocre","adj.","平庸的；普通的","The restaurant's food was **mediocre**, but the service was excellent.","** mediocre performance|results","recognition"
"a significant surge in...","","（數量的）激增；大量增加 (s...)","","a surge in + N. (在某方面的激增)","production"
"the rise of","","...的崛起 (名詞)","","","production"
"trifling","","微不足道的","","","production"
"supplanted by","","被...取代","","** be supplanted by... (被...取代)","production"
"garner","v.","獲得；收集 (支持、資訊、讚賞)","The novel **garnered** much praise from readers.","** garner support|garner attention|**  garner widespread awareness","recognition"
"permeate","v.","滲透；瀰漫；充滿","The smell of coffee began to **permeate** the room.","","recognition"
"to the core","","徹底地；徹頭徹尾","","","production"
"shortage","n.","短缺；不足","","","recognition"
"run-of-the-mill","adj.","普通的；平淡無奇的","Forget **run-of-the-mill** earthbound resorts; try a space hotel!","","recognition"
"by far","","顯然；在很大程度上","This is **by far** the best cake I have ever eaten.","** 用於修飾最高級或比較級","recognition"
"so ... that ...","","如此...以至於...","","","production"
"or so","phr.","大約；或至少他們是這麼認為的","They believe they can solve the problem within a week—**or so** they hope.","** 放在句尾可表「或是那樣(但可能未必)」或「大約」","recognition"
"hasten","v.","加速；催促","The bad weather may **hasten** our departure.","** hasten to V. (急忙去做...)","recognition"
"minor","adj.","輕微的；次要的","","","recognition"
"flawless","","完美的；無瑕的","","","production"
"repetitive","","重複的；反覆的","","","production"
"enhance","v.","enhance [v.]","Good lighting can **enhance** the atmosphere of a room.","** enhance performance|quality","recognition"
"demanding","adj.","吃力的；要求高的","The pentathlon event was too **demanding** for many athletes.","","recognition"
"becoming increasingly prevalent in","","在...日益普及","","** prevalent (普及的|盛行的)","production"
"excruciating","adj.","極度痛苦的；難忍受的","Suffering from shock and experiencing **excruciating** pain, Coots... made it back to the shore.","** 形容肉體或精神上的劇痛","recognition"
"aggravate the problem","","加劇問題","","** aggravate|exacerbate|worsen + the problem|situation|condition","production"
"a wide variety of","","各式各樣的","","","production"
"put/place emphasis on the importance of...","","強調...的重要性","","** emphasis 是名詞，動詞用 emphasize","production"
"ubiquitous","adj.","無所不在的；普遍的","Smartphones have become **ubiquitous** in modern society.","** be ubiquitous in...","recognition"
"diminish","v.","減少；減弱；貶低","His influence in the company has **diminished** over the years.","","recognition"
"an enormous amount of","","大量的","","","production"
"take ... by storm","","大受歡迎；風靡...","Dozens of video movies... have **taken Japan by storm**.","","recognition"
"miniature","adj./n.","微型的；縮影","","","recognition"
"confine sb./sth. to ...","","將...局限於... (c...)","","** confine 為動詞，指限制在某個空間或範圍內","production"
"Such... that...","","如此...以至於...","It was **such** a cold day **that** the lake froze over.","** Such + N. + that clause (比較: So + adj.|adv. + that)","recognition"
"phenomenal","adj.","非凡的；驚人的；現象級的","In three months, the change was **phenomenal**.","","recognition"
"the turnover rate of sth.","","（某事物的）汰換率","","** 常用於電子產品、流行服飾或員工流動","production"
"meager","adj.","貧乏的；微薄的","They work long hours in unsafe conditions and for **meager** wages.","** 常形容薪水、食物或供給 (meager income|diet)","recognition"
"a host of","phr.","大量的","These berries provide **a host of** vitamins that are essential for health.","** a host of + 複數名詞 (許多；大量)","recognition"
"widespread adoption","","廣泛採用 n.","","** adoption (採用)","production"
"remotely","adv.","絲毫(不)；遠程地","I’m not **remotely** interested in what he has to say.","** not remotely + adj. (一點也不...)|work remotely (遠端工作)","recognition"
"elongated","adj.","拉長的；細長的","The artist is known for painting figures with **elongated** necks.","** e- (向外) + long (長) + -ate (動詞)","recognition"
"reach fever pitch","phr.","達到狂熱狀態；達到高潮","Excitement for the concert **reached fever pitch** as the band took the stage.","** fever pitch (極度興奮的狀態)","recognition"
"too ... to + VR","","太...以至於難以...","","** 否定含意：太...而不能...","production"
"減輕；緩和","","mitigate","","**  mitigate global warming","production"
"prevalent","adj.","普遍的；盛行的","Flu infections are particularly **prevalent** during the winter months.","** be prevalent in + 地方|時間","recognition"
"frenzy","n.","狂熱；瘋狂；極度激動","But, unlike the hiring **frenzy** decades ago, most employers are taking a long look at candidates.","** a feeding frenzy|in a frenzy of rage","recognition"
"magnitude","n.","巨大；規模；重要性","They didn't realize the **magnitude** of the earthquake until later.","** order of magnitude (數量級)","recognition"
"not ... at all","","一點也不...","","","production"
"充滿...；擠滿...","","充滿...；擠滿...","","** be packed with + N.","production"
"brimming with","","充滿；洋溢著","**Brimming with** numerous fabulous scenes and sights...","","recognition"
"be of paramount importance","","至關重要的","","","production"
"girth","n.","周長；圍長；腰圍","The old tree has a massive **girth**.","** tree girth (樹圍)","recognition"
"bridge the gap","","縮小差距","","** bridge|narrow|close + the gap (between A and B)","production"
"substantiate","v.","證實；證明...有根據","There is no evidence to **substantiate** his claims.","** substantiate an allegation|claim","recognition"
"not necessarily","","未必；不一定","","","production"
"come across","","偶然遇見；無意中發現","","","production"
"verify the facts","","查證事實","","** verify (核實|查證)","production"
"have a myth","","有錯誤的迷思/觀念","Many people **have a myth** that they can save whatever is left over.","","recognition"
"attest to","","證實；證明","Anyone who has browsed through social media can **attest to** that...","** attest to + N.|that-clause","recognition"
"a guarantee of","","...的保證","","** guarantee (保證)","production"
"broaden one's horizons","","拓展視野","","** broaden|expand|widen + one's horizons|perspective|outlook","production"
"pseudoscience","n.","偽科學","Astrology is often considered a **pseudoscience**.","","recognition"
"gain insight into","","了解","","** gain insight into + N.","production"
"dubious","adj.","懷疑的；可疑的","I am **dubious** about his ability to do the job.","","recognition"
"be unaccounted for","","下落不明；無法解釋","","","production"
"criterion","n.","標準；準則 (複數: criteria)","Academic ability is not the only **criterion** for admission.","** meet the criteria","recognition"
"showcase / show","","展示","","","production"
"empirical","adj.","經驗主義的；以觀察或實驗為依據的","The theory is supported by **empirical** evidence.","** empirical data|study","recognition"
"pieces of evidence","","證據 (注意用法)","","** evidence 為不可數，量詞要用 a piece of","production"
"ambiguity [U.]","","歧義；模稜兩可","","","production"
"enigma","n.","謎；難解的事物","The reason for what follows remains an **enigma** for zoologists and naturalists.","** remain an enigma (仍是一個謎)","recognition"
"explicit","adj.","明確的；詳盡的","He gave me **explicit** instructions on how to get there.","","recognition"
"the core tenet of","phr.","...的核心原則/信條","Freedom of speech is **the core tenet of** any democratic society.","** tenet (教義；宗旨)","recognition"
"be believed to have Vpp.","","被相信曾... (完成式用法)","","","production"
"nuance","n.","細微差別；韻味","The translator missed the **nuance** of the original text.","** subtle nuance","recognition"
"unequivocal","adj.","毫不含糊的；明確的","He said **unequivocally** on the radio that people are very upset...","","recognition"
"distort","v.","扭曲；曲解","The media should not **distort** the facts.","** distort the truth|reality","recognition"
"bias","n.","偏見；成見","The reporter was accused of showing political **bias**.","** bias against|towards...","recognition"
"conflicting phenomena","","矛盾的現象","","","production"
"demonstrate","","展現 (比 show 更正式)","","**  demonstrate confidence","production"
"模棱兩可的；含糊不清的","","ambiguous","","","production"
"context","","語境；情境","","","production"
"implicit","adj.","暗示的；含蓄的","Her silence was an **implicit** agreement to the plan.","** implicit trust (絕對的信任)","recognition"
"comprehension of","","對...的理解","","** comprehension (理解力|理解)","production"
"plausible","adj.","貌似合理的；可信的","His explanation sounds **plausible**, but I'm still skeptical.","","recognition"
"explore unknown territories","","探索未知領域","","** territory (領域|領土)","production"
"more to it than meets the eye","","事情沒那麼簡單 (成語)","","","production"
"no longer / not ... anymore","","不再... (次序/頻率)","","","production"
"last/next/this + 時間","","時間副詞 (last/next)","","","production"
"ephemeral![WrPUxs.mp3](1piwZFzO.mp3)","WrPUxs.mp3","短暫的；瞬息即逝的","Fashion trends are often **ephemeral** and change quickly.","** ephemeral fame|beauty","recognition"
"archaic","adj.","古老的；過時的","...making handwriting an **archaic** form of expressing best left to the banana leaves...","","recognition"
"dawn","n.","黎明；拂曉","The hunters went out just before **dawn**.","** at dawn (在黎明時分)；也可當動詞表示「開始|明白」。","recognition"
"early","","早期的 (注意：非 prior)","","** 指時間點較早 (prior 則指在某事之前的)","production"
"for a long time","","長久的","","** 常與完成式連用","production"
"consecutive","adj.","連續的","She led her team to five **consecutive** national championships.","** for three consecutive days (連續三天)","recognition"
"ancient","","古代的","","","production"
"set aside [time] for N/Ving","","撥出時間做...","","** set aside (撥出|保留)；for 是介系詞","production"
"have been V-ing","","一直（做某事）","","** 表示從過去持續到現在且仍在進行","production"
"momentarily","adv.","片刻地；立刻/隨即 (美式)","I will be with you **momentarily**.","** 暫時 (for a moment); 很快 (very soon)","recognition"
"used to","","曾經 (過去習慣)","","","production"
"Never before has there been an era","","以前從未有過這樣的時代 (倒裝強調)","","** Never before 放在句首時，主詞動詞需倒裝","production"
"past / previous experience","","過去的經驗","","** 描述個人經歷時，不建議使用 early 或 prior","production"
"remind sb. of sth.","","使人想起...","","","production"
"elapse","v.","(時間) 流逝；過去","Many years had **elapsed** before they met again.","** 常指時間的經過","recognition"
"within","","在...之內 (時間)","","","production"
"last for / continue for","","持續 (時間)","","","production"
"stand the test of time","","經得起時間的考驗；歷久彌新","...whose novels have **stood the test of time** and remain as ones of the most read books...","","recognition"
"today's","","當今的；現今的","","** 常放在名詞前，如 today's world|society","production"
"consistent","","持續的；始終如一的","","","production"
"out of date / out of fashion","","過時的；退流行的","","","production"
"once","","以前 (用於簡化內容)","","** 比起 which had been 更簡練地表達「以前是...」","production"
"keep in mind (not) to","","記住(不)要做某事","","** 後接原形動詞","production"
"imminent","adj.","即將發生的；迫在眉睫的","Dark clouds suggest that a storm is **imminent**.","** imminent danger","recognition"
"primitive","adj.","原始的；遠古的","The museum displays **primitive** tools used by early humans.","** 常與 society, culture 搭配。","recognition"
"注意: 拼寫中間有 r","","二月","","","production"
"post-pandemic era","","後疫情時代","","** pandemic (大流行)","production"
"on","","特定日期的介系詞","","","production"
"contemporary","adj.","當代的；同時代的","He writes about **contemporary** social issues.","** contemporary art","recognition"
"to date","","以此為止；至今","This is his best novel **to date**.","","recognition"
"for good","","永遠地；一勞永逸地","After this argument, they decided to break up **for good**.","","recognition"
"reduce the amount of time","","減少...的時間量","","** amount (量) 用於修飾不可數的時間","production"
"ever-changing","","千變萬化的","","** 用於形容科技、世界或環境","production"
"subsequent","","隨後的；接著發生的","","","production"
"the other day","","前幾天","","** 用於過去式","production"
"in the long run","","從長遠來看；最後","","** 用於描述最終產生的結果或影響","production"
"keep up with","","跟上...的腳步","","","production"
"the fifth century","","第五世紀 (序數用法)","","","production"
"at times","","適時；有時","","** 相當於 sometimes 或 occasionally","production"
"wave after wave","","一波接一波","","","production"
"the whole year / all year round","","一整年","","","production"
"fleeting","","轉瞬即逝的","","** 描述時間、青春或機會","production"
"set out","v.","陳述；闡明（觀點、理由）","The report **sets out** the main reasons for the project's failure.","** set out a plan|argument","recognition"
"learn from failure","","從失敗中學習","","** learn from one's mistakes|failure","production"
"the fundamental way to V","","...的根本方法","","** fundamental (根本的|基礎的)","production"
"discern","v.","辨別；看出","It is difficult to **discern** the truth from the lies.","** discern the difference","recognition"
"stay alert to","","對...保持警覺","","** stay alert to + N.","production"
"According to","","根據 (消息來源)","","","production"
"First and foremost","","首要的是 (轉折語)","","","production"
"precaution","","預防措施","","","production"
"克制；避免","","克制；避免","","** refrain from + V-ing|N.","production"
"visualize","","想像；使形象化","","","production"
"replace B with A","","用 A 取代 B","","** 注意 A 是「新的東西」，B 是「被換掉的東西」","production"
"maneuver","n./v.","策略；調動；演習","He knew the moves and **maneuvers**, the counters and the attacks.","","recognition"
"weave in","","編入；穿插；切入","The author managed to **weave in** some historical facts into the fiction story.","** weave A into B (將 A 巧妙編入 B)","recognition"
"scrutinize","","仔細審視；詳細檢查 (s...)","","** scrutiny (n.) under close scrutiny","production"
"call off","","取消","Due to the heavy rain, they had to **call off** the baseball game.","** call off + activity|event","recognition"
"leave out","","遺漏；省略；不包括","Don't **leave out** any details when you write the report.","** leave sb.|sth. out","recognition"
"a fast learner","","學得很快的人","","","production"
"stem from","","源於...","","","production"
"facilitate","v.","促進；使便利","The new software will **facilitate** teamwork.","** facilitate communication","recognition"
"come to grips with","","開始理解並處理；認認對付","...her attempts to **come to grips with** cultures that are worlds away from her party-animal lifestyle...","","recognition"
"In contrast / By contrast","","與之相比；相反地","","** 用於對比兩件截然不同的事","production"
"culminate in","v. phr.","以...告終；達到頂點","The years of hard work **culminated in** a successful product launch.","** culminate in + 結果|高潮","recognition"
"hypothetical","adj.","假設的；假定的","Let's consider a **hypothetical** situation where you win the lottery.","** hypothetical question","recognition"
"tell A and B apart","","區別 A 與 B (t...)","","** tell ... apart 指辨識兩者之間的差異","production"
"clear goals","","清晰的目標","","** set clear goals (設定清晰的目標)","production"
"acumen","n.","敏銳；聰明；判斷力","Historians may differ in their assessment of her political **acumen**...","** business acumen|political acumen","recognition"
"think outside the box","","跳脫框架思考","","","production"
"Compared with/to ...","","與...相較之下","","** 置於句首修飾後方主詞","production"
"elicit","v.","引出；誘出","The questionnaire was designed to **elicit** honest responses.","** elicit a response|reaction","recognition"
"comb through","v. phr.","仔細搜尋；搜遍","The detectives **combed through** the crime scene for any possible evidence.","** comb (梳頭髮|搜尋)；形容非常仔細的尋找","recognition"
"lead to / give rise to","","導致；引起","","","recognition"
"deal with","","處理；應付","","","production"
"give priority to","","優先考慮","","** priority (優先權)；to 是介系詞","production"
"stimulate creativity","","激發創意","","** stimulate|spark|foster|nurture + creativity|innovation|imagination","production"
"as if / as though + S. + V. (假設語氣)","","彷彿；好像","","** 若與事實相反，動詞用過去式 (如 were)","production"
"screen out","v. phr.","篩選掉；過濾掉","The software is designed to **screen out** spam emails automatically.","","recognition"
"flash into one's mind","","（沒來由地）突然想到","The idea suddenly **flashed into his mind** while he was driving.","","recognition"
"enlighten","v.","啟發；開導；闡明","","","recognition"
"concede","v.","承認(失敗/錯誤)；讓步","He finally had to **concede** that he was wrong.","** concede defeat","recognition"
"prioritize A over B","","比起 B 更重視 A；選擇 A 而非 B (p...)","","prioritize (優先考慮|重視)","production"
"deep-rooted belief / deeply ingrained notion","","根深蒂固的觀念","","** deep-rooted|deeply ingrained + belief|notion|prejudice|habit","production"
"It is … that really count / What really matters is …","","真正重要的是... (強烈語氣)","","** 用於強調句型","production"
"aggregate","v.","聚集；總計","The website **aggregates** news from various sources into one page.","** in the aggregate (總體上)","recognition"
"assert","v.","斷言；主張","He continued to **assert** his innocence despite the evidence.","** assert one's rights (維護權利)","recognition"
"render + O. + O.C. (N./adj.)","","使...變成...","","","production"
"piece together","v.","拼湊（事實、真相）","The investigators are trying to **piece together** what happened on the night of the crime.","** piece together the evidence|story","recognition"
"make up for","v.","補償；彌補","He bought her flowers to **make up for** forgetting their anniversary.","** make up for the lost time|mistake|**  make up for one's lack","recognition"
"be associated with","","與...聯想在一起；與...有關聯","","","production"
"ensure","","確保","","","production"
"avert","v.","避免；防止；轉移(目光)","In order to **avert** what appears to be a looming crisis...","","recognition"
"put off ... until/to ...","","把...拖延至...","","** put off + N.|V-ing (延期)","production"
"tune out","v. phr.","置之不理；對...充耳不聞","When the lecture gets boring, I tend to **tune out** and daydream.","** tune out noise|someone (無視噪音或某人的話)","recognition"
"The former ..., (while) the latter ...","","前者...，後者...","","** 用於指代前文提到的兩個對象","production"
"dawn on","v.","頓悟；突然明白","It **dawned on** him that yellow could work for a caution.","** It dawned on sb. that...","recognition"
"開始；（足球）開球","","kick off","","","production"
"ideas take shape","v. phr.","想法成形；具體化","After several meetings, our **ideas** finally began to **take shape**.","** take shape (成形|呈現雛形)","recognition"
"be inspired by","","受...啟發 (電影/藝術)","","","production"
"had better","","最好... (建議)","","","production"
"stay focused","","保持專注","","** stay + adj. (保持...的狀態)","production"
"fallacy","n.","謬誤；錯誤的觀念","It is a common **fallacy** that cold weather causes the flu.","** logical fallacy (邏輯謬誤)","recognition"
"It is no wonder that...","","難怪...","","","production"
"For want of","phr.","缺乏；因缺少...","The project failed **for want of** adequate funding.","** for want of + N. (因缺乏某物)","recognition"
"analogy","n.","類比；比擬","The teacher used an **analogy** between the heart and a pump to explain how it works.","** draw an analogy between A and B","recognition"
"seek inspiration in","","在...中尋找靈感","","** seek (尋找)；inspiration (靈感)","production"
"make a decision","","做決定","","** 固定用 make，絕對不可說 do a decision","production"
"in order to","","為了... (目的)","","","production"
"resort to","","訴諸於...；採取... (通常指不得已的手段)","...inhabitants had to **resort to** cannibalism in order to survive...","** resort to + N.|V-ing","recognition"
"if ... at all","phr.","如果真的做得到的話（甚至可能根本做不到）","We will get there by midnight, **if** we can make it **at all**.","** at all 有否定意思，所以是講反話的感覺，暗示可能性極低","recognition"
"做好準備","","gear up","","","production"
"compelling","adj.","compelling [adj.]","There is **compelling** evidence that the climate is changing.","** compelling reason|story","recognition"
"take ... personally","","視為針對個人","","","production"
"formulate","v.","構想；制定；明確表達","We need to **formulate** a new strategy to increase sales.","** formulate a plan|theory","recognition"
"pragmatic","adj.","務實的；實用主義的","We need a **pragmatic** solution to this crisis, not just theories.","** pragmatic approach|attitude","recognition"
"對...持保留態度（存疑）","","have reservations about","","","production"
"unconsciously / unwittingly","","不知不覺地","","** 指沒意識到地做某事","production"
"raise questions about","","提出、引起質疑","","** raise + questions|doubts|concerns + about","production"
"phase out","v.","逐步淘汰；分階段停止使用","The airline is **phasing out** its older planes to reduce fuel costs.","** phase out sth.","recognition"
"bring out","","生產；推出；襯托出","The new policy aims to **bring out** high-quality electronic devices.","** bring out a product (推出產品)|bring out the best in sb. (激發某人最好的一面)","recognition"
"in turn","","繼而、轉而、接而","Stress causes illness, which **in turn** reduces productivity.","** A 導致 B，B **in turn** (接著) 導致 C","recognition"
"arbitrary","adj.","武斷的；任意的","The decision seemed **arbitrary** and unfair to the employees.","** arbitrary rule|decision","recognition"
"take full advantage of sth.","","充分利用 (機會/資源)","","** advantage (優點|優勢)","production"
"draw a conclusion","","得出結論","","** draw|reach|come to + a conclusion","production"
"weigh the pros and cons","","權衡利弊","","** weigh + the pros and cons|the advantages and disadvantages|the options","production"
"familiarize oneself with","","熟悉","","","recognition"
"entail","v.","牽涉；勢必造成","The project will **entail** a lot of hard work.","** entail risk|cost","recognition"
"tailor","v.","量身打造；調整；裁製","...know how to handle a variety of subjects or to **tailor** instruction for children of different ages?","** tailor A to B (根據 B 調整 A)","recognition"
"settle for the reality","","接受現實 (s...)","","","production"
", thereby Ving...","","，從而... (分詞構句)","","** thereby 為副詞，常接 V-ing 作為結果","production"
"be convinced of","","深信；確信（某一事實）","","","production"
"In the eye of the beholder","","情人眼中出西施","","","production"
"distract sb. from sth.","","分散注意力；使人分心","","** distract (v.)|distracting (adj. 令人分心的)","production"
"phase in","v. phr.","逐步採用；分階段實施","The new security regulations will be **phased in** over the next six months.","** 相反詞為  phase out (逐步廢除)","recognition"
"judging from/by ...","","從...來看；根據...判斷","","** 置於句首的固定分詞慣用語，後接 N.","production"
"mull over","v.","仔細思考；反覆推敲","I need a few days to **mull over** your proposal before I give you an answer.","** mull over a decision|idea","recognition"
"contradict","v.","反駁；與...矛盾","The witness's statement seemed to **contradict** the evidence.","** contradict oneself","recognition"
"bring about","","造成；導致","","","recognition"
"out of safety concerns","","基於安全考量","","","production"
"account for","","解釋了...的原因；是...的關鍵理由","","account for + N. (解釋...原因)","production"
"iron out","v.","解決；消除（分歧、困難）","The two companies managed to **iron out** their differences before signing the contract.","** iron out difficulties|differences","recognition"
"trance-like","adj.","恍惚的；入迷的；如神魂超拔般的","The dancers moved in a **trance-like** state, oblivious to the crowd.","** trance (昏迷|發呆狀態) + -like (像...的)","recognition"
"inherent","adj.","固有的；與生俱來的","There are risks **inherent** in investing in the stock market.","** inherent nature|danger","recognition"
"adjust one's attitude","","調整心態","","","production"
"push the boundaries","","突破界限；挑戰極限","The artist tries to **push the boundaries** of modern design further.","** push the boundaries of + N.","recognition"
"view / regard","","看待；視為","","** view A as B","production"
"judge a book by its cover","","以貌取人 (書皮)","","** 固定慣用語，指僅憑外表判斷價值","production"
"hold one's horses","","慢一點；別急 (稍安勿躁)","**Hold your horses**! We haven't decided where to go yet.","** 常用於口語，叫人冷靜或等一下。","recognition"
"derive","v.","源自；獲得","Many English words are **derived** from Latin.","** derive A from B|be derived from","recognition"
"contemplate","v.","深思；沉思；凝視","He carefully planned each action, **contemplated** every possible counter maneuver...","** contemplate V-ing|contemplate N.","recognition"
"Not only + 助動詞 + S. + V., but (also) ...","","不僅...而且... (倒裝句用法)","","** Not only 放在句首時，前句須倒裝","production"
"look upon ... as ...","","把...視為...","","","production"
"detrimental","adj.","有害的；不利的","Smoking is **detrimental** to your health.","** be detrimental to...","recognition"
"別無選擇只能...","","別無選擇只能...","","","production"
"lifelong regret [C.]","","終身遺憾","","","production"
"fall through","v.","（計劃、交易）告吹；化為泡影","The sale of the house **fell through** because the buyers couldn't get a mortgage.","** a plan|deal falls through","recognition"
"bear the inconvenience","","忍受不便","","","production"
"force sb. to V.","","迫使","","","production"
"be stuck in","","被困在...中","","","production"
"冒著安全風險","","冒著安全風險","","","production"
"handcuffing (yourself)","","束縛自己","","","production"
"one's reputation suffers","","名聲受損","","** suffer 在此作不及物動詞，指「受損|變差」","production"
"plunge headlong into/on","","倉促投入；魯莽行事；一頭栽進","He shouldn't **plunge headlong into** marriage without thinking.","** headlong (頭朝前地|輕率地)。","recognition"
"What is regrettable is that...","","令人遺憾的是...","","** 後接子句，用於寫作轉折","production"
"disgust and contempt","","厭惡與鄙視","","** 均為不可數名詞","production"
"lurking","adj./v-ing","潛伏的；埋伏的","The lion was **lurking** in the tall grass, waiting for its prey.","** lurk (v.) 潛伏；(在社群媒體) 潛水","recognition"
"encounter setbacks","","遭受挫折","","** encounter (遭遇)；setback (挫折)","production"
